,date,max_temp_c,precipitation_sum,city
0,2026-08-20,38.9,0.0,Austin
1,2026-08-21,39.7,0.05,Austin
2,2026-08-22,40.5,0.0,Austin
3,2026-08-23,41.6,0.1,Austin
4,2026-08-24,40.6,0.0,Austin
5,2026-08-25,39.9,0.0,Austin
6,2026-08-26,39.6,0.0,Austin
7,2026-08-20,23.7,0.0,Chicago
8,2026-08-21,28.1,0.1,Chicago
9,2026-08-22,27.7,2.4,Chicago
10,2026-08-23,22.5,0.0,Chicago
11,2026-08-24,25.7,1.6,Chicago
12,2026-08-25,28.3,0.3,Chicago
13,2026-08-26,30.2,5.1,Chicago
14,2026-08-20,33.6,56.5,Miami
15,2026-08-21,30.9,4.45,Miami
16,2026-08-22,32.1,3.9,Miami
17,2026-08-23,31.5,2.4,Miami
18,2026-08-24,31.3,1.9,Miami
19,2026-08-25,31.7,1.4,Miami
20,2026-08-26,31.6,0.3,Miami
