,Unnamed: 0,date,max_temp_c,precipitation_sum,city,temp_f,weather_category
0,0,2026-08-20,38.9,0.0,Austin,102.02,Hot
1,1,2026-08-21,39.7,0.05,Austin,103.46000000000001,Hot
2,2,2026-08-22,40.5,0.0,Austin,104.9,Hot
3,3,2026-08-23,41.6,0.1,Austin,106.88000000000001,Hot
4,4,2026-08-24,40.6,0.0,Austin,105.08000000000001,Hot
5,5,2026-08-25,39.9,0.0,Austin,103.82,Hot
6,6,2026-08-26,39.6,0.0,Austin,103.28,Hot
7,7,2026-08-20,23.7,0.0,Chicago,74.66,Cool
8,8,2026-08-21,28.1,0.1,Chicago,82.58,Cool
9,9,2026-08-22,27.7,2.4,Chicago,81.86,Cool
10,10,2026-08-23,22.5,0.0,Chicago,72.5,Cool
11,11,2026-08-24,25.7,1.6,Chicago,78.25999999999999,Cool
12,12,2026-08-25,28.3,0.3,Chicago,82.94,Cool
13,13,2026-08-26,30.2,5.1,Chicago,86.36,Cool
14,14,2026-08-20,33.6,56.5,Miami,92.48,Hot
15,15,2026-08-21,30.9,4.45,Miami,87.61999999999999,Cool
16,16,2026-08-22,32.1,3.9,Miami,89.78,Cool
17,17,2026-08-23,31.5,2.4,Miami,88.7,Cool
18,18,2026-08-24,31.3,1.9,Miami,88.34,Cool
19,19,2026-08-25,31.7,1.4,Miami,89.06,Cool
20,20,2026-08-26,31.6,0.3,Miami,88.88000000000001,Cool
