order_id,shop_id,vehicle_make,total_amount,status,close_date
101,1,Toyota,3200.50,Closed,2023-01-15
102,1,Honda,1500.00,Closed,2023-02-10
103,2,Ford,4500.75,Closed,2023-01-20
104,2,Chevrolet,800.00,Open,
105,3,Toyota,2750.25,Supplement,2023-03-05
106,3,Nissan,1200.00,Closed,2023-02-28
107,4,BMW,6200.00,Closed,2023-01-30
108,4,Honda,3100.50,Closed,2023-02-15
109,5,Toyota,950.00,Open,
110,5,Ford,2200.00,Closed,2023-03-10
111,6,Chevrolet,5400.00,Closed,2023-01-25
112,6,Toyota,1800.75,Supplement,2023-02-20
113,7,Honda,2600.00,Closed,2023-03-01
114,7,Nissan,700.00,Open,
115,1,Ford,3900.00,Closed,2023-03-20
116,2,BMW,7100.25,Closed,2023-02-05
117,3,Toyota,1650.00,Open,
118,4,Chevrolet,2450.50,Supplement,2023-03-15
